underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask
^VIX,2021-04-26 10:00:00,VIXW,2021-05-26,10.0,P,0.02,0.02,0.02,0.02,3,0,0.0,246,0.02,17.84,17.84
^VIX,2021-04-26 10:00:00,VIXW,2021-05-26,16.0,C,5.0,5.0,5.0,5.0,1,18,4.77,18,5.08,17.84,17.84
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,16.0,C,5.0,5.0,4.88,4.88,3,18,4.69,20,5.0,17.75,17.75
^VIX,2021-04-26 16:00:00,VIXW,2021-05-26,16.0,C,5.13,5.13,5.13,5.13,16,13,4.79,13,5.08,17.72,17.72
^VIX,2021-04-26 11:30:00,VIXW,2021-05-26,16.0,P,0.27,0.27,0.23,0.23,8,48,0.17,42,0.28,17.76,17.76
^VIX,2021-04-26 15:00:00,VIXW,2021-05-26,16.0,P,0.17,0.17,0.17,0.17,5,53,0.16,51,0.27,17.69,17.69
^VIX,2021-04-26 11:30:00,VIXW,2021-05-26,17.0,C,4.2,4.27,4.2,4.27,6,18,4.01,20,4.39,17.76,17.76
^VIX,2021-04-26 16:00:00,VIXW,2021-05-26,17.0,C,4.34,4.39,4.34,4.39,25,13,4.04,646,4.3,17.72,17.72
^VIX,2021-04-26 10:00:00,VIXW,2021-05-26,17.0,P,0.53,0.53,0.46,0.46,18,2122,0.4,186,0.53,17.84,17.84
^VIX,2021-04-26 11:30:00,VIXW,2021-05-26,17.0,P,0.53,0.53,0.41,0.53,16,42,0.42,38,0.53,17.76,17.76
^VIX,2021-04-26 10:00:00,VIXW,2021-05-26,18.0,C,3.67,3.67,3.67,3.67,10,18,3.42,22,3.69,17.84,17.84
^VIX,2021-04-26 13:30:00,VIXW,2021-05-26,18.0,C,3.46,3.46,3.46,3.46,1,1,3.58,18,3.69,17.96,17.96
^VIX,2021-04-26 14:00:00,VIXW,2021-05-26,18.0,C,3.7,3.7,3.58,3.58,6,9,3.46,17,3.67,17.78,17.78
^VIX,2021-04-26 15:00:00,VIXW,2021-05-26,18.0,C,3.52,3.63,3.52,3.63,3,9,3.46,17,3.61,17.69,17.69
^VIX,2021-04-26 15:30:00,VIXW,2021-05-26,18.0,C,3.46,3.46,3.46,3.46,2,17,3.49,17,3.75,17.72,17.72
^VIX,2021-04-26 13:30:00,VIXW,2021-05-26,18.0,P,0.71,0.71,0.71,0.71,10,1745,0.7,19,0.84,17.96,17.96
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,19.0,C,3.0,3.0,3.0,3.0,1,1,2.9,22,3.11,17.75,17.75
^VIX,2021-04-26 11:30:00,VIXW,2021-05-26,19.0,C,2.95,2.95,2.95,2.95,1,18,2.89,18,3.12,17.76,17.76
^VIX,2021-04-26 15:00:00,VIXW,2021-05-26,19.0,C,2.96,2.96,2.96,2.96,1,17,2.85,17,3.09,17.69,17.69
^VIX,2021-04-26 16:00:00,VIXW,2021-05-26,19.0,C,3.17,3.17,3.16,3.16,2,13,2.9,609,3.1,17.72,17.72
^VIX,2021-04-26 11:30:00,VIXW,2021-05-26,20.0,C,2.65,2.67,2.65,2.67,6,1,2.6,65,2.7,17.76,17.76
^VIX,2021-04-26 15:00:00,VIXW,2021-05-26,20.0,C,2.61,2.61,2.6,2.61,15,17,2.45,12,2.6,17.69,17.69
^VIX,2021-04-26 15:30:00,VIXW,2021-05-26,20.0,C,2.55,2.55,2.55,2.55,1,17,2.54,11,2.55,17.72,17.72
^VIX,2021-04-26 16:00:00,VIXW,2021-05-26,20.0,C,2.55,2.78,2.55,2.78,16,3,2.6,267,2.65,17.72,17.72
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,21.0,C,2.2,2.2,2.2,2.2,5,36,2.16,591,2.35,17.75,17.75
^VIX,2021-04-26 14:30:00,VIXW,2021-05-26,21.0,C,2.29,2.29,2.29,2.29,2,55,2.15,17,2.36,17.79,17.79
^VIX,2021-04-26 15:00:00,VIXW,2021-05-26,21.0,P,2.65,2.65,2.65,2.65,1,34,2.47,17,2.66,17.69,17.69
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,22.0,C,2.05,2.05,2.05,2.05,3,57,1.9,7,2.05,17.75,17.75
^VIX,2021-04-26 15:30:00,VIXW,2021-05-26,22.0,C,2.04,2.04,2.04,2.04,1,34,1.93,7,2.05,17.72,17.72
^VIX,2021-04-26 16:00:00,VIXW,2021-05-26,22.0,C,2.05,2.05,2.05,2.05,1,1,2.0,1184,2.05,17.72,17.72
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,23.0,C,1.84,1.84,1.84,1.84,1,38,1.68,19,1.84,17.75,17.75
^VIX,2021-04-26 14:30:00,VIXW,2021-05-26,24.0,C,1.55,1.55,1.55,1.55,4,36,1.46,1,1.61,17.79,17.79
^VIX,2021-04-26 10:00:00,VIXW,2021-05-26,25.0,C,1.6,1.6,1.6,1.6,20,1331,1.4,80,1.56,17.84,17.84
^VIX,2021-04-26 12:00:00,VIXW,2021-05-26,25.0,C,1.51,1.51,1.51,1.51,10,55,1.36,19,1.5,17.79,17.79
^VIX,2021-04-26 14:30:00,VIXW,2021-05-26,25.0,C,1.43,1.43,1.33,1.41,4,1481,1.3,18,1.47,17.79,17.79
^VIX,2021-04-26 16:00:00,VIXW,2021-05-26,25.0,C,1.49,1.52,1.49,1.52,25,14,1.31,534,1.45,17.72,17.72
^VIX,2021-04-26 16:00:00,VIXW,2021-05-26,27.0,C,1.21,1.25,1.21,1.25,100,10,1.1,569,1.2,17.72,17.72
^VIX,2021-04-26 15:30:00,VIXW,2021-05-26,29.0,C,0.99,0.99,0.99,0.99,1,38,0.88,38,1.02,17.72,17.72
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,30.0,C,0.99,0.99,0.92,0.96,6,1284,0.85,81,0.98,17.75,17.75
^VIX,2021-04-26 16:00:00,VIXW,2021-05-26,30.0,C,0.9,0.9,0.84,0.84,3,15,0.8,32,0.93,17.72,17.72
^VIX,2021-04-26 14:30:00,VIXW,2021-05-26,32.5,C,0.75,0.75,0.73,0.73,2,1392,0.65,40,0.77,17.79,17.79
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,35.0,C,0.74,0.74,0.74,0.74,5,87,0.57,42,0.69,17.75,17.75
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,40.0,C,0.52,0.52,0.52,0.52,2,32,0.42,1406,0.53,17.75,17.75
^VIX,2021-04-26 12:00:00,VIXW,2021-05-26,40.0,C,0.51,0.51,0.51,0.51,1,881,0.4,73,0.5,17.79,17.79
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,42.5,C,0.4,0.4,0.4,0.4,1,35,0.36,1371,0.45,17.75,17.75
^VIX,2021-04-26 10:30:00,VIXW,2021-05-26,45.0,C,0.42,0.42,0.42,0.42,1,32,0.32,1540,0.4,17.75,17.75
^VIX,2021-04-26 13:00:00,VIXW,2021-05-26,60.0,C,0.11,0.11,0.11,0.11,4,46,0.11,51,0.21,17.93,17.93
^VIX,2021-04-26 11:00:00,VIXW,2021-05-26,80.0,C,0.1,0.1,0.1,0.1,2,57,0.02,1332,0.1,17.74,17.74
